2024-09-29 13:56:38 | EVE69931351 | ERROR | Service started successfully.java.lang.IndexOutOfBoundsExceptionException in thread "main" java.lang.ArrayIndexOutOfBoundsException: Index 5 out of bounds for length 5
        at YourClassName.yourMethodName(YourClassName.java:LineNumber)
2024-09-29 13:56:38 | EVE05283330 | DEBUG | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE11034605 | ERROR | Disk space low warning issued.
2024-09-29 13:56:38 | EVE51123473 | INFO | Audit trail recorded.
2024-09-29 13:56:38 | EVE06852920 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE20214727 | CRITICAL | Connection established successfully.
2024-09-29 13:56:38 | EVE96705607 | DEBUG | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE58124667 | WARNING | Connection established successfully.
2024-09-29 13:56:38 | EVE31856900 | ERROR | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE53774813 | WARNING | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE18706675 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE50009852 | WARNING | Data fetched from database.
2024-09-29 13:56:38 | EVE13858692 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE91330602 | WARNING | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE85629599 | WARNING | Unhandled exception in module.
2024-09-29 13:56:38 | EVE59730698 | CRITICAL | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE92522055 | INFO | Audit trail recorded.
2024-09-29 13:56:38 | EVE94862985 | INFO | Audit trail recorded.
2024-09-29 13:56:38 | EVE09705804 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE72206949 | ERROR | Disk space low warning issued.
2024-09-29 13:56:38 | EVE01521326 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE72136603 | DEBUG | Audit trail recorded.
2024-09-29 13:56:38 | EVE22926936 | CRITICAL | Disk space low warning issued.
2024-09-29 13:56:38 | EVE53708603 | CRITICAL | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE64934495 | DEBUG | Data fetched from database.
2024-09-29 13:56:38 | EVE82888303 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE07598665 | CRITICAL | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE00690794 | ERROR | Disk space low warning issued.
2024-09-29 13:56:38 | EVE88177501 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE51220774 | CRITICAL | Unhandled exception in module.
2024-09-29 13:56:38 | EVE21799361 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE29592329 | CRITICAL | Data fetched from database.
2024-09-29 13:56:38 | EVE68172037 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE94312059 | CRITICAL | Disk space low warning issued.
2024-09-29 13:56:38 | EVE29273259 | ERROR | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE61276402 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE63114585 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE29465465 | DEBUG | Service started successfully.
2024-09-29 13:56:38 | EVE86428044 | WARNING | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE14481030 | WARNING | Connection established successfully.
2024-09-29 13:56:38 | EVE55971847 | WARNING | Data fetched from database.
2024-09-29 13:56:38 | EVE52716690 | INFO | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE38180091 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE87114507 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE36026555 | DEBUG | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE39506028 | INFO | Data fetched from database.
2024-09-29 13:56:38 | EVE89327344 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE21251425 | DEBUG | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE95421217 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE69878343 | WARNING | Data fetched from database.
2024-09-29 13:56:38 | EVE11449260 | WARNING | Connection established successfully.
2024-09-29 13:56:38 | EVE39324029 | ERROR | Disk space low warning issued.
2024-09-29 13:56:38 | EVE12792720 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE43444555 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE33282658 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE88583026 | ERROR | Data fetched from database.
2024-09-29 13:56:38 | EVE91126085 | CRITICAL | Connection established successfully.
2024-09-29 13:56:38 | EVE85232408 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE77352163 | INFO | Data fetched from database.
2024-09-29 13:56:38 | EVE15485668 | WARNING | Service started successfully.
2024-09-29 13:56:38 | EVE40035467 | WARNING | Service started successfully.
2024-09-29 13:56:38 | EVE47030511 | DEBUG | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE44166537 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE97010393 | DEBUG | Connection established successfully.
2024-09-29 13:56:38 | EVE12007919 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE20611963 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE70623000 | INFO | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE33309861 | ERROR | Connection established successfully.
2024-09-29 13:56:38 | EVE71500321 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE10745877 | WARNING | Unhandled exception in module.
2024-09-29 13:56:38 | EVE92353258 | DEBUG | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE42613443 | DEBUG | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE00349040 | WARNING | Service started successfully.
2024-09-29 13:56:38 | EVE86725224 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE34083769 | WARNING | Data fetched from database.
2024-09-29 13:56:38 | EVE71396151 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE08784269 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE83336648 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE19977311 | INFO | Service started successfully.
2024-09-29 13:56:38 | EVE18150832 | WARNING | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE81953377 | ERROR | Service started successfully.
2024-09-29 13:56:38 | EVE32107351 | DEBUG | Disk space low warning issued.
2024-09-29 13:56:38 | EVE85461591 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE82022945 | CRITICAL | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE92660209 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE76498017 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE58746531 | ERROR | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE86814336 | WARNING | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE85119893 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE90675172 | DEBUG | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE54523708 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE12530739 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE72290691 | WARNING | Data fetched from database.
2024-09-29 13:56:38 | EVE99538174 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE70104785 | INFO | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE67245995 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE32760345 | INFO | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE93416666 | DEBUG | Disk space low warning issued.
2024-09-29 13:56:38 | EVE82130041 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE37764436 | INFO | Audit trail recorded.
2024-09-29 13:56:38 | EVE36843258 | WARNING | Data fetched from database.
2024-09-29 13:56:38 | EVE05507019 | INFO | Unhandled exception in module.
2024-09-29 13:56:38 | EVE25131120 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE47775166 | ERROR | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE49953654 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE16113476 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE59699187 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE96252892 | INFO | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE37273685 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE57239073 | INFO | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE98881163 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE52553332 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE49845211 | CRITICAL | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE17304424 | INFO | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE82478393 | INFO | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE06029279 | INFO | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE35774881 | DEBUG | Service started successfully.
2024-09-29 13:56:38 | EVE83005208 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE59871681 | WARNING | Disk space low warning issued.
2024-09-29 13:56:38 | EVE91201796 | CRITICAL | Connection established successfully.
2024-09-29 13:56:38 | EVE83487625 | WARNING | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE81608558 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE56311068 | DEBUG | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE27446921 | DEBUG | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE33666320 | WARNING | Connection established successfully.
2024-09-29 13:56:38 | EVE52580480 | ERROR | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE71345222 | WARNING | Disk space low warning issued.
2024-09-29 13:56:38 | EVE72192674 | CRITICAL | Service started successfully.
2024-09-29 13:56:38 | EVE91880792 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE65236536 | DEBUG | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE17594179 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE25214585 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE65890408 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE64787431 | INFO | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE59367625 | ERROR | Connection established successfully.
2024-09-29 13:56:38 | EVE91082984 | DEBUG | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE28564474 | INFO | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE22174038 | ERROR | Data fetched from database.
2024-09-29 13:56:38 | EVE11612231 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE81136176 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE11060577 | ERROR | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE01681347 | ERROR | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE68147563 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE74610451 | DEBUG | Service started successfully.
2024-09-29 13:56:38 | EVE56647197 | ERROR | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE82870869 | WARNING | Audit trail recorded.
2024-09-29 13:56:38 | EVE17348361 | WARNING | Service started successfully.
2024-09-29 13:56:38 | EVE96510233 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE79967594 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE64417100 | DEBUG | Connection established successfully.
2024-09-29 13:56:38 | EVE75830649 | CRITICAL | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE67847688 | CRITICAL | Disk space low warning issued.
2024-09-29 13:56:38 | EVE62741826 | DEBUG | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE67782498 | INFO | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE76831652 | CRITICAL | Data fetched from database.
2024-09-29 13:56:38 | EVE21681682 | WARNING | Unhandled exception in module.
2024-09-29 13:56:38 | EVE51509333 | WARNING | Disk space low warning issued.
2024-09-29 13:56:38 | EVE39821497 | WARNING | Disk space low warning issued.
2024-09-29 13:56:38 | EVE04440195 | CRITICAL | Data fetched from database.
2024-09-29 13:56:38 | EVE06244021 | DEBUG | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE60620881 | CRITICAL | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE78538762 | CRITICAL | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE27168684 | ERROR | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE87069825 | WARNING | Connection established successfully.
2024-09-29 13:56:38 | EVE81608296 | WARNING | Connection established successfully.
2024-09-29 13:56:38 | EVE06216554 | ERROR | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE83531893 | INFO | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE74402319 | ERROR | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE42516967 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE87448727 | ERROR | Disk space low warning issued.
2024-09-29 13:56:38 | EVE98055545 | DEBUG | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE94762324 | CRITICAL | Unhandled exception in module.
2024-09-29 13:56:38 | EVE90254069 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE88326154 | ERROR | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE38255896 | WARNING | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE77009290 | ERROR | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE37546431 | DEBUG | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE89981036 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE27727116 | INFO | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE20784031 | INFO | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE90462292 | DEBUG | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE48005033 | ERROR | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE93205060 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE47921952 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE96313903 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE57780022 | INFO | Service started successfully.
2024-09-29 13:56:38 | EVE16290665 | WARNING | Connection established successfully.
